"sample","view","target","metric","cut_type","cut_value","n_scored","n_official","coverage","estimate","lower","upper"
"exploratory","latest_valid","scoreline","home_goal_rps","outcome_class","away",0,104,0,,,
"exploratory","latest_valid","scoreline","home_goal_rps","outcome_class","draw",0,104,0,,,
"exploratory","latest_valid","scoreline","home_goal_rps","outcome_class","home",0,104,0,,,
"exploratory","latest_valid","scoreline","home_goal_rps","overall","all",0,104,0,,,
"exploratory","latest_valid","scoreline","home_goal_rps","stage","group",0,52,0,,,
"exploratory","latest_valid","scoreline","home_goal_rps","stage","knockout",0,31,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","confidence","high",0,104,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","confidence","low",0,104,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","confidence","medium",0,104,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","outcome_class","away",0,104,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","outcome_class","draw",0,104,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","outcome_class","home",0,104,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","overall","all",0,104,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","stage","group",0,52,0,,,
"exploratory","latest_valid","scoreline","joint_scoreline_log_loss","stage","knockout",0,31,0,,,
"strict","first_valid","btts","btts_brier","confidence","high",18,104,0.173076923076923,0.237469376648916,0.213288607627185,0.263901632095692
"strict","first_valid","btts","btts_brier","confidence","low",26,104,0.25,0.25133590353128,0.244830984625884,0.257732057604254
"strict","first_valid","btts","btts_brier","confidence","medium",39,104,0.375,0.253529900883116,0.244158551806132,0.262396158832838
"strict","first_valid","btts","btts_brier","outcome_class","away",27,104,0.259615384615385,0.24740574212799,0.234396436840725,0.260715110264809
"strict","first_valid","btts","btts_brier","outcome_class","draw",16,104,0.153846153846154,0.250666902077397,0.235225935208894,0.265104441458382
"strict","first_valid","btts","btts_brier","outcome_class","home",40,104,0.384615384615385,0.25015557338103,0.239234592428412,0.260557161099166
"strict","first_valid","btts","btts_brier","overall","all",83,104,0.798076923076923,0.249359619348618,0.242018108470014,0.257137049013244
"strict","first_valid","btts","btts_brier","stage","group",52,52,1,0.245758834550231,0.236297694270204,0.255038235089173
"strict","first_valid","btts","btts_brier","stage","knockout",31,31,1,0.255399645462041,0.244242025131323,0.267018769004919
"strict","first_valid","btts","btts_log_loss","confidence","high",18,104,0.173076923076923,0.668069426348351,0.618791448331797,0.722122942274415
"strict","first_valid","btts","btts_log_loss","confidence","low",26,104,0.25,0.695819711568042,0.682781401627712,0.708810256536121
