"date","home_team","away_team","home_score","away_score","tournament","city","country","neutral","score_source","actual_winner_team","home_team_canonical","away_team_canonical","home_team_fifa","away_team_fifa","result","match_id","is_home"
1896-04-04,"Scotland","England",2,1,"British Home Championship","Glasgow","Scotland",FALSE,"martj42",NA,"Scotland","England",NA,"ENG",1,"Scotland_England_1896-04-04",TRUE
1897-02-20,"England","Northern Ireland",6,0,"British Home Championship","Nottingham","England",FALSE,"martj42",NA,"England","Ireland, Northern","ENG","NIR",1,"England_Ireland, Northern_1897-02-20",TRUE
1897-03-06,"Northern Ireland","Wales",4,3,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","Wales","NIR","WAL",1,"Ireland, Northern_Wales_1897-03-06",TRUE
1897-03-20,"Wales","Scotland",2,2,"British Home Championship","Wrexham","Wales",FALSE,"martj42",NA,"Wales","Scotland","WAL",NA,0.5,"Wales_Scotland_1897-03-20",TRUE
1897-03-27,"Scotland","Northern Ireland",5,1,"British Home Championship","Glasgow","Scotland",FALSE,"martj42",NA,"Scotland","Ireland, Northern",NA,"NIR",1,"Scotland_Ireland, Northern_1897-03-27",TRUE
1897-03-29,"England","Wales",4,0,"British Home Championship","Sheffield","England",FALSE,"martj42",NA,"England","Wales","ENG","WAL",1,"England_Wales_1897-03-29",TRUE
1897-04-03,"England","Scotland",1,2,"British Home Championship","London","England",FALSE,"martj42",NA,"England","Scotland","ENG",NA,0,"England_Scotland_1897-04-03",TRUE
1898-02-19,"Wales","Northern Ireland",0,1,"British Home Championship","Llandudno","Wales",FALSE,"martj42",NA,"Wales","Ireland, Northern","WAL","NIR",0,"Wales_Ireland, Northern_1898-02-19",TRUE
1898-03-05,"Northern Ireland","England",2,3,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","England","NIR","ENG",0,"Ireland, Northern_England_1898-03-05",TRUE
1898-03-19,"Scotland","Wales",5,2,"British Home Championship","Motherwell","Scotland",FALSE,"martj42",NA,"Scotland","Wales",NA,"WAL",1,"Scotland_Wales_1898-03-19",TRUE
1898-03-26,"Northern Ireland","Scotland",0,3,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","Scotland","NIR",NA,0,"Ireland, Northern_Scotland_1898-03-26",TRUE
1898-03-28,"Wales","England",0,3,"British Home Championship","Wrexham","Wales",FALSE,"martj42",NA,"Wales","England","WAL","ENG",0,"Wales_England_1898-03-28",TRUE
1898-04-02,"Scotland","England",1,3,"British Home Championship","Glasgow","Scotland",FALSE,"martj42",NA,"Scotland","England",NA,"ENG",0,"Scotland_England_1898-04-02",TRUE
1899-02-18,"England","Northern Ireland",13,2,"British Home Championship","Sunderland","England",FALSE,"martj42",NA,"England","Ireland, Northern","ENG","NIR",1,"England_Ireland, Northern_1899-02-18",TRUE
1899-03-04,"Northern Ireland","Wales",1,0,"British Home Championship","Belfast","Ireland",FALSE,"martj42",NA,"Ireland, Northern","Wales","NIR","WAL",1,"Ireland, Northern_Wales_1899-03-04",TRUE
