"date","team","fifa_code","rating","match_id","is_post_match"
1877-03-05,"Scotland",NA,1545.02998899708,"Wales_Scotland_1877-03-05",TRUE
1878-03-02,"Scotland",NA,1537.36817573872,"Scotland_England_1878-03-02",FALSE
1878-03-02,"England","ENG",1421.95305747174,"Scotland_England_1878-03-02",FALSE
1878-03-02,"Scotland",NA,1548.04916569344,"Scotland_England_1878-03-02",TRUE
1878-03-02,"England","ENG",1411.27206751702,"Scotland_England_1878-03-02",TRUE
1878-03-23,"Scotland",NA,1547.60278380307,"Scotland_Wales_1878-03-23",FALSE
1878-03-23,"Wales","WAL",1447.77978800646,"Scotland_Wales_1878-03-23",FALSE
1878-03-23,"Scotland",NA,1559.00097635062,"Scotland_Wales_1878-03-23",TRUE
1878-03-23,"Wales","WAL",1436.38159545891,"Scotland_Wales_1878-03-23",TRUE
1879-01-18,"England","ENG",1405.04516759095,"England_Wales_1879-01-18",FALSE
1879-01-18,"Wales","WAL",1430.45637962098,"England_Wales_1879-01-18",FALSE
1879-01-18,"England","ENG",1423.0606288979,"England_Wales_1879-01-18",TRUE
1879-01-18,"Wales","WAL",1412.44091831402,"England_Wales_1879-01-18",TRUE
1879-04-05,"England","ENG",1421.55662253566,"England_Scotland_1879-04-05",FALSE
1879-04-05,"Scotland",NA,1550.92906111247,"England_Scotland_1879-04-05",FALSE
1879-04-05,"England","ENG",1445.49778427223,"England_Scotland_1879-04-05",TRUE
1879-04-05,"Scotland",NA,1526.9878993759,"England_Scotland_1879-04-05",TRUE
1879-04-07,"Wales","WAL",1410.90938318201,"Wales_Scotland_1879-04-07",FALSE
1879-04-07,"Scotland",NA,1526.94595972879,"Wales_Scotland_1879-04-07",FALSE
1879-04-07,"Wales","WAL",1394.10742531088,"Wales_Scotland_1879-04-07",TRUE
1879-04-07,"Scotland",NA,1543.74791759991,"Wales_Scotland_1879-04-07",TRUE
1880-03-13,"Scotland",NA,1536.5355240591,"Scotland_England_1880-03-13",FALSE
1880-03-13,"England","ENG",1438.70489957602,"Scotland_England_1880-03-13",FALSE
1880-03-13,"Scotland",NA,1548.02742168527,"Scotland_England_1880-03-13",TRUE
1880-03-13,"England","ENG",1427.21300194985,"Scotland_England_1880-03-13",TRUE
