"date","team","display_team","group","fifa_code","rating","match_id","is_post_match"
2026-06-11,"Saudi Arabia","Saudi Arabia","H","KSA",1160.2505407506,"tournament_start",FALSE
2026-06-15,"Saudi Arabia","Saudi Arabia","H","KSA",1166.34854138348,"Saudi Arabia_Uruguay_2026-06-15",TRUE
2026-06-21,"Saudi Arabia","Saudi Arabia","H","KSA",1162.36384815142,"Spain_Saudi Arabia_2026-06-21",TRUE
2026-06-26,"Saudi Arabia","Saudi Arabia","H","KSA",1160.80072444442,"Cape Verde_Saudi Arabia_2026-06-26",TRUE
2026-07-18,"Saudi Arabia","Saudi Arabia","H","KSA",1160.80072444442,"tournament_end",TRUE
2026-06-11,"Scotland","Scotland","C","SCO",1201.82986845443,"tournament_start",FALSE
2026-06-13,"Scotland","Scotland","C","SCO",1215.21327816545,"Haiti_Scotland_2026-06-13",TRUE
2026-06-19,"Scotland","Scotland","C","SCO",1210.79525742359,"Scotland_Morocco_2026-06-19",TRUE
2026-06-24,"Scotland","Scotland","C","SCO",1208.04912824474,"Scotland_Brazil_2026-06-24",TRUE
2026-07-18,"Scotland","Scotland","C","SCO",1208.04912824474,"tournament_end",TRUE
2026-06-11,"Senegal","Senegal","I","SEN",1344.72593009995,"tournament_start",FALSE
2026-06-16,"Senegal","Senegal","I","SEN",1335.71282838633,"France_Senegal_2026-06-16",TRUE
2026-06-22,"Senegal","Senegal","I","SEN",1323.44330736619,"Norway_Senegal_2026-06-22",TRUE
2026-06-26,"Senegal","Senegal","I","SEN",1331.61725565168,"Senegal_Iraq_2026-06-26",TRUE
2026-07-01,"Senegal","Senegal","I","SEN",1321.18553465903,"Belgium_Senegal_2026-07-01",TRUE
2026-07-18,"Senegal","Senegal","I","SEN",1321.18553465903,"tournament_end",TRUE
2026-06-11,"South Africa","South Africa","A","RSA",1143.91998590051,"tournament_start",FALSE
2026-06-11,"South Africa","South Africa","A","RSA",1140.57000769544,"Mexico_South Africa_2026-06-11",TRUE
2026-06-18,"South Africa","South Africa","A","RSA",1141.03746957649,"Czech Republic_South Africa_2026-06-18",TRUE
2026-06-24,"South Africa","South Africa","A","RSA",1156.75220873935,"South Africa_Korea Republic_2026-06-24",TRUE
2026-06-28,"South Africa","South Africa","A","RSA",1151.41221229935,"South Africa_Canada_2026-06-28",TRUE
2026-07-18,"South Africa","South Africa","A","RSA",1151.41221229935,"tournament_end",TRUE
2026-06-11,"Spain","Spain","H","ESP",1486.31253013442,"tournament_start",FALSE
2026-06-15,"Spain","Spain","H","ESP",1473.31025450395,"Spain_Cape Verde_2026-06-15",TRUE
2026-06-21,"Spain","Spain","H","ESP",1477.077454229,"Spain_Saudi Arabia_2026-06-21",TRUE
2026-06-26,"Spain","Spain","H","ESP",1481.6953822099,"Uruguay_Spain_2026-06-26",TRUE
2026-07-02,"Spain","Spain","H","ESP",1488.68092778035,"Spain_Austria_2026-07-02",TRUE
2026-07-06,"Spain","Spain","H","ESP",1495.28099390248,"Portugal_Spain_2026-07-06",TRUE
2026-07-10,"Spain","Spain","H","ESP",1504.1368544578,"Spain_Belgium_2026-07-10",TRUE
2026-07-14,"Spain","Spain","H","ESP",1511.93342762046,"France_Spain_2026-07-14",TRUE
2026-07-18,"Spain","Spain","H","ESP",1511.93342762046,"tournament_end",TRUE
2026-06-11,"Sweden","Sweden","F","SWE",1249.15773607073,"tournament_start",FALSE
2026-06-14,"Sweden","Sweden","F","SWE",1269.87248782746,"Sweden_Tunisia_2026-06-14",TRUE
2026-06-20,"Sweden","Sweden","F","SWE",1261.29627514333,"Netherlands_Sweden_2026-06-20",TRUE
2026-06-25,"Sweden","Sweden","F","SWE",1263.04273974069,"Japan_Sweden_2026-06-25",TRUE
