"edition_id","projection_run_id","team_id","league","p_quarter_final","p_semi_final","p_third_place","p_final","p_champion","p_direct_promotion","p_direct_relegation","p_playoff_eligibility","p_playoff_win","p_playoff_loss","status","suppression_reason","simulation_count","simulation_seed","ruleset_version","ruleset_sha256","source_bundle_id","model_release_id","row_sha256"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_por","A",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","1687768c46f866632ca38f5674d9239f2d203db61b22515225973f236d6d9893"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_republic_of_ireland","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","ed1b8d3a8b00ed0214c383f2165c5a16225678c9ed38abccfcdea95db66974af"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_rou","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","592626322f7edbdcd28267d7c2421c1082529aeae0f9504e6277ca4eb5743340"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_scotland","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","ba77c58a1d64f69ad4aff7a0b37ede51b03e83a72a95dad13f390ffcb4d7e547"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_smr","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","d1d9f2190ebdaafd4d14183b12437126770d0e4f1d4098016b30368688c5541e"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_srb","A",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","0d46866089129249cfb4c97a5ce6c9ef7f659685e526a9fa5fbaaf30fcd65ed8"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_sui","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","9e7a4f791491cdedae10af6e1ca3d11577116f32a8832912f98616d6e18573aa"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_svk","C",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","8f6c9df593ce7e5837bc45eccc363acffeaf088f4b030abba528dbedf77d4ece"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_svn","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","bdc5c330571240a512fda6344c7863723570e36f823a09ebb6cf09bae731c785"
"uefa_nations_league_2026_27","phase15-nl-projection-aa8a81e5649029aa","team_swe","B",0,,0,0,0,1,1,0,0,0,"unresolved","",1,15017,"uefa-nations-league-2026-27-v2","78cec2073663e09c2e421843bf86ce65ab54520e8c3db3564c93ae4add1b6b70","nl-2026-27-official-uefa-v2","phase14-open-nb-incumbent-calibrated-v1","32df32262962270fc50990f0ce3e3b3c7233b7fa62c8c6f3bb1265174e94ada0"
