"schema_version","edition_id","fixture_id","uefa_source_fixture_id","source_group_id","group_id","home_team_id","away_team_id","home_uefa_source_team_id","away_uefa_source_team_id","home_display_name","away_display_name","scheduled_at_utc","kickoff_confirmed","confirmed_kickoff_at_utc","source_status","source_artifact_id","home_mapping_method","away_mapping_method","home_mapping_warning","away_mapping_warning","row_sha256"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047963",2047963,2014198,2014198,"team_pol","team_rou",109,113,"Poland","Romania","2026-10-02T18:45:00Z",TRUE,"2026-10-02T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","e777a4bb617dbb19e81b3b2f4dcf9805f0422157d0ae30957c025b6741d8b39c"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047964",2047964,2014198,2014198,"team_bih","team_swe",60094,127,"Bosnia and Herzegovina","Sweden","2026-10-02T18:45:00Z",TRUE,"2026-10-02T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","3456beff2cdffd59002200f8f8e3d17b55a39ff70661c8e72894caabf6f14305"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047965",2047965,2014201,2014201,"team_fro","team_svk",51218,58836,"Faroe Islands","Slovakia","2026-10-02T18:45:00Z",TRUE,"2026-10-02T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","da7e816a86257a2d729588ceb9e5124b71c1091008016bf97a6d5d8b236fd835"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047966",2047966,2014200,2014200,"team_cyp","team_arm",33,57419,"Cyprus","Armenia","2026-10-02T16:00:00Z",TRUE,"2026-10-02T16:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","0954d9490cc5934f17e8d5e4157a821b6187fccca3178f4fea25b47a6bbb647b"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047967",2047967,2014201,2014201,"team_kaz","team_mda",65146,57160,"Kazakhstan","Moldova","2026-10-02T14:00:00Z",TRUE,"2026-10-02T14:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","335a7601335ad9d594ffbb37651d4c54261ac7a2d2c853dd966a9306c467715e"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047968",2047968,2014193,2014193,"team_cro","team_eng",56370,39,"Croatia","England","2026-10-03T16:00:00Z",TRUE,"2026-10-03T16:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","7dc24b70bd41781f2063b1697131117121c26a680f6645c7e0aa538c807bf136"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047969",2047969,2014202,2014202,"team_isl","team_bul",58,20,"Iceland","Bulgaria","2026-10-03T16:00:00Z",TRUE,"2026-10-03T16:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","cc49b598118cff10694b3114a82664f2cb5c12a509e7ea559526ac8521058998"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047970",2047970,2014199,2014199,"team_fin","team_alb",42,2,"Finland","Albania","2026-10-03T13:00:00Z",TRUE,"2026-10-03T13:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","6da9f5aae296b73e76d82100f8f67bd0fe6f8c9def823a12d84f367ec3555f0c"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047971",2047971,2014193,2014193,"team_esp","team_cze",122,58837,"Spain","Czechia","2026-10-03T18:45:00Z",TRUE,"2026-10-03T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","93dbb9b41884798f30149a3ec81cacfc8aef26b8cb3a90d63f8afd23b184de00"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047972",2047972,2014195,2014195,"team_sui","team_svn",128,57163,"Switzerland","Slovenia","2026-10-03T18:45:00Z",TRUE,"2026-10-03T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","7fd99dfa2da296e642a4cab3822d5356f0d8847a892f8fba6e08a272d2147ec8"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047973",2047973,2014199,2014199,"team_blr","team_smr",57155,50168,"Belarus","San Marino","2026-10-03T16:00:00Z",TRUE,"2026-10-03T16:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","82586491f720245a4f12a246ca4952ba0c8884518730c18f2f7f700df6f0d9a0"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047974",2047974,2014202,2014202,"team_est","team_lux",56556,82,"Estonia","Luxembourg","2026-10-03T16:00:00Z",TRUE,"2026-10-03T16:00:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","98c7bbd07c3c26e8ed993d0d8851b7d91fb21cf671ba06bbf153db904dbfa218"
"phase14-normalized-fixture-v2","uefa_nations_league_2026_27","uefa_nations_league_2026_27-2047975",2047975,2014195,2014195,"team_mkd","team_scotland",59205,117,"North Macedonia","Scotland","2026-10-03T18:45:00Z",TRUE,"2026-10-03T18:45:00Z","UPCOMING","nl-2026-27-official-uefa-v2-fixtures","source_id","source_id","none","none","1f01c3245e3ceb87a137b78d08ddb5c79544fd89bfc67b5a1e14b1f8d5e2ca68"
